Ebay ID,Description,Sold_Date,Sold_Price
282787394256,Speck SeeThru Hard Shell Case for MacBook Pro 13 inch Nickel Gray Glossy,2018-06-18 08:48PM,$29.99
282787377429,Speck SeeThru Hard Shell Case for MacBook Pro 13 inch Black Satin finish,2018-06-18 08:48PM,$29.99
282787386789,Speck SeeThru Hard Shell Case for MacBook Pro 13 inch Onyx Black Matte,2018-06-18 08:48PM,$29.99
372336778542,New/Factory Sealed MacBook Pro A1708 Silver 13-Inch 8GB LPDDR3 w/Mouse,2018-06-18 03:55PM,"$1,100.00"
152727670669,[3-Pack] Supershieldz for Apple MacBook Pro 13 inch (2016 / 2017 Model Only) ...,2018-06-18 08:00AM,$24.17
192559248273,A1322 Battery for Apple Macbook Pro 13 inch A1278 Mid 2012 2010 2009 Early 2011 ,2018-06-17 08:32PM,$19.95
253685604050,Laptop Sleeve Case Carry Bag Case for Macbook Pro/Air Dell Sony HP 13 13.3 Inch,2018-06-17 07:06PM,$5.99
253666755216,"Macbook Pro charger, Ac 60W Magsafe L-Tip Power Adapter For 13 Inches Macbook",2018-06-17 07:08AM,$15.99
132627143003,Sleeve Case Hand Bag For 10 11 13 15 ipad MacBook Pro Retina Air Laptop Notebook,2018-06-17 03:52AM,$9.99
132627143003,Sleeve Case Hand Bag For 10 11 13 15 ipad MacBook Pro Retina Air Laptop Notebook,2018-06-17 03:52AM,$9.99
132627143003,Sleeve Case Hand Bag For 10 11 13 15 ipad MacBook Pro Retina Air Laptop Notebook,2018-06-17 03:52AM,$9.99
132627143003,Sleeve Case Hand Bag For 10 11 13 15 ipad MacBook Pro Retina Air Laptop Notebook,2018-06-17 03:52AM,$9.99
132627143003,Sleeve Case Hand Bag For 10 11 13 15 ipad MacBook Pro Retina Air Laptop Notebook,2018-06-17 03:52AM,$9.99
132627143003,Sleeve Case Hand Bag For 10 11 13 15 ipad MacBook Pro Retina Air Laptop Notebook,2018-06-17 03:52AM,$9.99
132627143003,Sleeve Case Hand Bag For 10 11 13 15 ipad MacBook Pro Retina Air Laptop Notebook,2018-06-17 03:52AM,$9.99
132627143003,Sleeve Case Hand Bag For 10 11 13 15 ipad MacBook Pro Retina Air Laptop Notebook,2018-06-17 03:52AM,$9.99
132627143003,Sleeve Case Hand Bag For 10 11 13 15 ipad MacBook Pro Retina Air Laptop Notebook,2018-06-17 03:52AM,$9.99
